County_of_Residence,State,Births,Ave_Age_of_Mother,Ave_OE_Gestational_Age_Wks,Ave_Birth_Weight_gms
Prince George's County,MD,12159,29.66,38.38,3213.53
Anderson County,SC,2256,27.42,38.21,3230.55
Shelby County,AL,2250,29.45,38.46,3284.24
Davidson County,TN,9984,29.23,38.45,3244.13
Erie County,PA,2788,27.96,38.28,3241.33
Genesee County,MI,4558,27.6,38.27,3205.51
Robeson County,NC,1699,26.36,38.35,3161.59
Duval County,FL,12973,28.45,38.26,3195.52
San Bernardino County,CA,28994,28.67,38.42,3246.52
Washington County,TN,1247,28.0,38.33,3280.67
St. Clair County,MI,1543,28.0,38.41,3325.95
Chesapeake city,VA,2928,29.09,38.32,3274.07
Boone County,KY,1695,29.21,38.4,3321.63
Washington County,PA,2063,29.33,38.56,3292.87
New York County,NY,17020,32.55,38.63,3224.47
Richland County,OH,1353,26.86,38.46,3276.86
Dona Ana County,NM,2587,27.04,38.45,3232.69
Albany County,NY,2886,30.1,38.69,3301.69
Black Hawk County,IA,1632,28.31,38.43,3304.43
Anne Arundel County,MD,6781,30.55,38.51,3295.17
Strafford County,NH,1143,29.53,38.75,3350.23
Saratoga County,NY,2022,30.74,38.82,3376.45
Tompkins County,NY,735,30.49,38.8,3330.2
Kennebec County,ME,1161,28.47,38.71,3319.15
Humboldt County,CA,1364,29.38,38.85,3386.42
Montgomery County,AL,3139,27.48,37.9,3083.55
Calcasieu Parish,LA,3057,26.98,38.04,3167.82
Shelby County,TN,13124,27.7,38.17,3131.92
Midland County,TX,3011,27.56,38.17,3204.86
Faulkner County,AR,1467,27.73,38.33,3297.1
Forsyth County,GA,2306,31.08,38.41,3285.43
Williamson County,TN,2322,31.54,38.49,3344.05
Kankakee County,IL,1237,27.94,38.32,3221.41
Norfolk city,VA,3452,27.65,38.23,3190.78
Hamilton County,TN,4249,28.47,38.39,3233.99
Collin County,TX,11147,30.65,38.38,3267.7
Unidentified Counties,WY,6562,28.06,38.46,3173.17
St. Charles County,MO,4306,30.18,38.37,3327.59
Saline County,AR,1339,27.95,38.28,3288.69
Richmond County,GA,2918,27.22,38.19,3127.8
Tippecanoe County,IN,2158,28.31,38.43,3280.27
Unidentified Counties,FL,12991,27.31,38.34,3246.71
Pickens County,SC,1145,27.11,38.5,3318.96
Fairfax County,VA,13841,31.72,38.57,3296.82
Gloucester County,NJ,2762,30.34,38.64,3326.53
Catawba County,NC,1693,27.68,38.55,3293.78
Portage County,OH,1392,28.97,38.55,3314.97
Unidentified Counties,CA,9938,28.61,38.69,3324.76
Gaston County,NC,2525,27.85,38.6,3249.57
Hinds County,MS,3041,27.07,37.74,3031.87
Terrebonne Parish,LA,1506,26.95,37.97,3181.47
Webb County,TX,4693,26.67,38.11,3218.08
DeSoto County,MS,2139,28.02,38.31,3245.95
Etowah County,AL,1191,26.51,38.22,3190.27
Vanderburgh County,IN,2115,27.25,38.22,3226.0
Houston County,AL,1368,27.04,38.29,3206.84
Tom Green County,TX,1473,27.03,38.12,3210.23
Jackson County,MS,1606,27.47,38.1,3192.64
St. Clair County,IL,3109,28.05,38.18,3189.87
Cleveland County,OK,2833,28.4,38.18,3279.99
Blount County,TN,1306,27.63,38.26,3282.33
Coconino County,AZ,1506,28.18,38.5,3226.7
Alamance County,NC,1958,28.35,38.41,3259.31
LaSalle County,IL,1092,28.35,38.4,3312.87
Stark County,OH,4075,27.87,38.48,3269.12
Unidentified Counties,MT,8642,28.39,38.56,3286.43
Sumner County,TN,2150,28.53,38.38,3315.76
Unidentified Counties,IN,29235,27.28,38.46,3310.46
McLean County,IL,1817,29.06,38.45,3326.32
Unidentified Counties,NC,31164,27.52,38.35,3234.4
Santa Barbara County,CA,5268,29.15,38.6,3310.64
Unidentified Counties,ND,8183,28.26,38.43,3349.92
Kern County,CA,12916,27.84,38.51,3278.08
Winnebago County,WI,1798,29.27,38.34,3329.99
Cochise County,AZ,1354,27.34,38.59,3247.36
Stafford County,VA,1745,29.48,38.57,3330.93
Butler County,PA,1809,29.93,38.64,3336.0
Kent County,RI,1502,30.25,38.64,3346.98
Litchfield County,CT,1364,30.58,38.69,3352.57
Dakota County,MN,5140,30.6,38.67,3351.95
Onslow County,NC,3923,26.26,38.61,3331.49
Jefferson County,AL,8437,28.44,38.24,3161.29
Ascension Parish,LA,1687,28.77,38.17,3220.11
Palm Beach County,FL,15066,30.06,38.41,3227.61
Pima County,AZ,10671,28.36,38.48,3244.32
Randall County,TX,1645,28.16,38.48,3237.86
Will County,IL,7318,30.01,38.31,3289.24
Clay County,FL,2182,28.37,38.3,3252.32
Woodbury County,IA,1393,27.55,38.36,3270.87
Comal County,TX,1526,28.89,38.26,3258.32
Queens County,NY,28042,30.72,38.58,3216.82
Brown County,WI,3158,28.95,38.4,3313.53
Ottawa County,MI,3138,29.15,38.56,3376.78
